time,open,high,low,close,ATR,EMA,EMA,MA,MA,Hiden bar color (Open),Hiden bar color (High,Hiden bar color (Low),Hiden bar color (Close),Volume,Volume MA,Previous Cumulative Volume,Previous Day&#039;s Volume,Cumulative Volume,Previous Cumulative Volume Line,Cumulative Volume Ratio
2020-12-03T13:30:00Z,7.21,7.24,7.21,7.21,0.024707786,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1775,1540.5,7961.5,48440,15565,7961.5,1
2020-12-03T13:45:00Z,7.21,7.21,7.19,7.21,0.024371515,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1950,1561.7,9481.5,48440,17515,9481.5,1
2020-12-03T14:00:00Z,7.21,7.21,7.2,7.21,0.023344979,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,605,1548.3,10916,48440,18120,10916,1
2020-12-03T14:15:00Z,7.21,7.24,7.21,7.23,0.023820337,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4285,1587.4,12008.5,48440,22405,12008.5,1
2020-12-03T14:30:00Z,7.23,7.23,7.17,7.17,0.026404599,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3120,1617.9,14616.5,48440,25525,14616.5,1
2020-12-03T14:45:00Z,7.17,7.18,7.14,7.16,0.027375699,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2840,1646.4,16390.5,48440,28365,16390.5,1
2020-12-03T15:00:00Z,7.16,7.16,7.15,7.15,0.026134578,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,525,1611.5,18031,48440,28890,18031,1
2020-12-03T15:15:00Z,7.14,7.14,7.12,7.13,0.026410679,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3440,1660.4,21064.5,48440,32330,21064.5,1
2020-12-03T15:30:00Z,7.13,7.13,7.11,7.11,0.025952774,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1965,1671.8,22612,48440,34295,22612,1
2020-12-03T15:45:00Z,7.11,7.11,7.09,7.09,0.025527575,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1435,1683.4,24535,48440,35730,24535,1
2020-12-03T16:00:00Z,7.09,7.12,7.09,7.1,0.025847034,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,485,1623.6,25157,48440,36215,25157,1
2020-12-03T16:15:00Z,7.09,7.1,7.08,7.08,0.025429389,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,805,1618.8,27064,48440,37020,27064,1
2020-12-03T16:30:00Z,7.08,7.09,7.07,7.09,0.025041576,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2470,1659.5,28067,48440,39490,28067,1
2020-12-03T16:45:00Z,7.09,7.1,7.08,7.08,0.024681463,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,365,1624.8,28990.5,48440,39855,28990.5,1
2020-12-03T17:00:00Z,7.09,7.1,7.09,7.1,0.024347073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,665,1596.9,29823.5,48440,40520,29823.5,1
2020-12-03T17:15:00Z,7.1,7.1,7.09,7.1,0.023322282,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,255,1594,30593.5,48440,40775,30593.5,1
2020-12-03T17:30:00Z,7.09,7.09,7.08,7.08,0.023084976,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,835,1607.8,31544.5,48440,41610,31544.5,1
2020-12-03T17:45:00Z,7.08,7.08,7.07,7.07,0.022150335,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,245,1596.2,32396,48440,41855,32396,1
2020-12-03T18:00:00Z,7.07,7.07,7.03,7.05,0.023425311,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2630,1620.1,33251.5,48440,44485,33251.5,1
2020-12-03T18:15:00Z,7.05,7.05,6.99,6.99,0.026037789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5790,1702.1,34116.5,48440,50275,34116.5,1
2020-12-03T18:30:00Z,6.99,7.01,6.93,6.94,0.029892232,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7565,1796,34951,48440,57840,34951,1
2020-12-03T18:45:00Z,6.94,6.94,6.91,6.94,0.02989993,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4925,1868.8,36814,48440,62765,36814,1
2020-12-03T19:30:00Z,6.9,6.9,6.9,6.9,0.030621364,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1790,1873,39450.5,48440,64555,39450.5,1
2020-12-03T19:45:00Z,6.91,6.93,6.91,6.93,0.030576981,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,600,1862.1,41358.5,48440,65155,41358.5,1
2020-12-03T20:00:00Z,6.92,6.97,6.92,6.96,0.031964339,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3225,1881.5,42552.5,48440,68380,42552.5,1
2020-12-03T20:15:00Z,6.96,6.99,6.96,6.99,0.031824029,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1710,1844.3,43438.5,48440,70090,43438.5,1
2020-12-03T20:30:00Z,7,7.04,7,7.03,0.033122313,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1070,1861.8,44265.5,48440,71160,44265.5,1
